Stückliste exportiert aus Z:/media/F8A8-AE69/hjh_projects/audio_hw/ct_guitar_amp/pcb_pre/pcb_pre_2012_09_03.sch am 09.09.2012 23:10:27

Bauteil Wert                   Device                  Package                    Description                         
C1      10u/35                 CAP_POLE2.5-7           THT_ELCO_E2,5-7            POLARIZED CAPACITOR, European symbol
C2      10u/35                 CAP_POLE2.5-7           THT_ELCO_E2,5-7            POLARIZED CAPACITOR, European symbol
C3      1u5                    C-EU050-050X075         C050-050X075               CAPACITOR, European symbol          
C4      100p                   C-EUC1206               C1206                      CAPACITOR, European symbol          
C5      1n0                    C-EUC1206               C1206                      CAPACITOR, European symbol          
C6      100nF                  C5/3                    C5B3                       CAPACITOR                           
C7      100u/16                CAP_POLE2.5-7           THT_ELCO_E2,5-7            POLARIZED CAPACITOR, European symbol
C9      330n                   C-EU050-050X075         C050-050X075               CAPACITOR, European symbol          
C10     10/35                  CAP_POLE2.5-7           THT_ELCO_E2,5-7            POLARIZED CAPACITOR, European symbol
C11     1u0/50                 C-EUC1210               C1210                      CAPACITOR, European symbol          
C12     1n0                    C-EUC1206               C1206                      CAPACITOR, European symbol          
C13     1n0                    C-EUC1206               C1206                      CAPACITOR, European symbol          
C15     1n0                    C-EUC1206               C1206                      CAPACITOR, European symbol          
C16     0u33                   C-EU050-050X075         C050-050X075               CAPACITOR, European symbol          
C17     10u/35                 CAP_POLE2.5-7           THT_ELCO_E2,5-7            POLARIZED CAPACITOR, European symbol
C18     0u33                   C-EU050-050X075         C050-050X075               CAPACITOR, European symbol          
C19     10n                    C5/3.5                  CAP5B3.5                   CAPACITOR                           
D1      BAT43                  D-MLL-34                MELF-MLL34                 DIODE                               
D2      BAT43                  D-MLL-34                MELF-MLL34                 DIODE                               
D3      LL4148                 D-MLL-34                MELF-MLL34                 DIODE                               
D4      Z12                    DIODE_ZENERSOD80C       SOD80C                     Z-Diode                             
EFFECT  WW10H                  CONN_ML10H              THT_CONN_WW10_H            HARTING                             
GAIN    RK9-2x100klog          THT_POTI_ALPS_RK09"     THT_POTI_ALPS_RK09         SCHEMATIC FOR DUAL POTENTIOMETER    
PA      WW14V                  CONN_ML14H              THT_CONN_WW14_H            HARTING                             
Q1      BF245A                 TRANS_JFET_N_TO92_SOT23 TO92-SOT23-JFET            N-Channel Junction FET              
R1      220R                   R-EU_R1206              R1206                      RESISTOR, European symbol           
R2      10k                    R-EU_R1206              R1206                      RESISTOR, European symbol           
